uid	source	label	diacritic	sentence	original
3924	Kuroda_1965	1	g	ジョンはビルに本を買われた。	ジョンはビルに本を買われた。
3014	Kuno_1973	1	g	ジョンは目を覚まし顔を洗った。	ジョンは目を覚まし顔を洗った。
7921	Tsujimura_1999	1	g	太郎が二郎に自分について話した。	太郎が二郎に自分について話した。
1196	Inoue_1976	1	g	ジョンの手の長さでは、誰にもひけを取らない。	ジョンの手の長さでは、誰にもひけを取らない。
7525	Shibatani_1990	1	g	太郎は非常に速く走る。	非常に速く走る。
8030	Tsujimura_1999	1	g	日本語学科の新設が学長によって発表された。	日本語学科の新設が学長によって発表された。
5935	Shibatani_1976	1	g	親の私に無断で大事な娘に会われては困る。	親の私に無断で大事な娘に会われては困る。
3436	Kuno_1973	1	g	ジョンはメアリーに行かせる。	ジョンはメアリーに行かせる。
4105	Kuroda_1992	1	g	統辞構造論もジョンさえ読んだ。	統辞構造論もジョンさえ読んだ。
6113	Shibatani_1976	1	g	太郎は花子を自分の車から降ろした。	太郎は花子を自分の車から降ろした。
2730	Kuno_1973	1	g	ここは寒すぎる。	ここは寒すぎる。
3754	Kuroda_1965	1	g	ジョンが本を買ったかビルが本を買ったかです。	ジョンが本を買ったかビルが本を買ったかです。
6437	Shibatani_1976	1	g	父が死んだという知らせを聞いたのはその時だった。	父が死んだという知らせを聞いたのはその時だった。
4735	Miyagawa_and_Saito	1	g	美智子は何をしていますか？	美智子は何をしていますか？
6289	Shibatani_1976	1	g	私はボスに辞職することを頼んだ。	私はボスに辞職することを頼んだ。
5854	Shibatani_1976	1	g	ジョンはメアリーに自分が馬鹿であることを教えた。	ジョンはメアリーに自分が馬鹿であることを教えた。
838	Inoue_1976	1	g	山田君は、加藤君を自分の部屋で勉強させた。	山田君は、加藤君を自分の部屋で勉強させた。
7303	Shibatani_1976	1	g	山田先生はこの本をお読みにはなりませんでした。	山田先生はこの本をお読みにはなりませんでした。
1928	Inoue_1976	1	g	山岡さんが読んでいた新聞を、隣の人が覗き込んだ。	山岡さんが読んでいた新聞を、隣の人が覗き込んだ。
7987	Tsujimura_1999	1	g	学生が先生を批判した。	学生が先生を批判した。
8283	Tsujimura_1999	1	g	太郎がペンキを壁に塗った。	太郎がペンキを壁に塗った。
7094	Shibatani_1976	1	g	先生が私に貴重な蔵書を貸してくださった。	先生が私に貴重な蔵書を貸してくださった。
